soc_code,occupation_title,aioe_title,description,aei_score,risk_band
49-9041,Industrial Machinery Mechanics,Industrial Machinery Mechanics,"Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems. May also install, dismantle, or move machinery and heavy equipment according to plans.",0.25053929112150075,Green
49-9043,"Maintenance Workers, Machinery","Maintenance Workers, Machinery","Lubricate machinery, change parts, or perform other routine machinery maintenance.",0.2697390800763958,Green
49-9044,Millwrights,Millwrights,"Install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings.",0.210757110694609,Green
49-9045,"Refractory Materials Repairers, Except Brickmasons","Refractory Materials Repairers, Except Brickmasons","Build or repair equipment such as furnaces, kilns, cupolas, boilers, converters, ladles, soaking pits, and ovens, using refractory materials.",0.22801178250110707,Green
49-9051,Electrical Power-Line Installers and Repairers,Electrical Power-Line Installers and Repairers,Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.,0.2310063884469208,Green
49-9052,Telecommunications Line Installers and Repairers,Telecommunications Line Installers and Repairers,"Install and repair telecommunications cable, including fiber optics.",0.2522882199548477,Green
49-9061,Camera and Photographic Equipment Repairers,Camera and Photographic Equipment Repairers,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment.",0.5578922821447275,Yellow
49-9062,Medical Equipment Repairers,Medical Equipment Repairers,"Test, adjust, or repair biomedical or electromedical equipment.",0.3718962834986967,Yellow
49-9063,Musical Instrument Repairers and Tuners,Musical Instrument Repairers and Tuners,"Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning.",0.36511445453847374,Yellow
49-9064,Watch and Clock Repairers,Watch Repairers,"Repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks. Includes watchmakers, watch technicians, and mechanical timepiece repairers.",0.5137093791834194,Yellow
49-9071,"Maintenance and Repair Workers, General","Maintenance and Repair Workers, General","Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of a building in repair. Duties may involve pipe fitting; HVAC maintenance; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.",0.2635034474960576,Green
49-9081,Wind Turbine Service Technicians,Wind Turbine Service Technicians,"Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.",0.26114550457110447,Green
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers","Coin, Vending, and Amusement Machine Servicers and Repairers","Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines.",0.31571160941190146,Green
49-9092,Commercial Divers,Commercial Divers,"Work below surface of water, using surface-supplied air or scuba equipment to inspect, repair, remove, or install equipment and structures. May use a variety of power and hand tools, such as drills, sledgehammers, torches, and welding equipment. May conduct tests or experiments, rig explosives, or photograph structures or marine life.",0.24617613759950904,Green
49-9094,Locksmiths and Safe Repairers,Locksmiths and Safe Repairers,"Repair and open locks, make keys, change locks and safe combinations, and install and repair safes.",0.298056385301185,Green
49-9095,Manufactured Building and Mobile Home Installers,Manufactured Building and Mobile Home Installers,Move or install mobile homes or prefabricated buildings.,0.1861469746746935,Green
49-9096,Riggers,Riggers,"Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry.",0.23237975656810758,Green
49-9097,Signal and Track Switch Repairers,Signal and Track Switch Repairers,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.",0.2901841444445401,Green
49-9098,"Helpers--Installation, Maintenance, and Repair Workers","Helpers--Installation, Maintenance, and Repair Workers","Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.",0.18002376318203203,Green
49-9099,"Installation, Maintenance, and Repair Workers, All Other","Installation, Maintenance, and Repair Workers, All Other","All installation, maintenance, and repair workers not listed separately.",0.33886762089386285,Yellow
51-1011,First-Line Supervisors of Production and Operating Workers,First-Line Supervisors/Managers of Production and Operating Workers,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators. Excludes team or work leaders.",0.4593253586566323,Yellow
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems.",0.2853279174327049,Green
51-2021,"Coil Winders, Tapers, and Finishers","Coil Winders, Tapers, and Finishers","Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.",0.3194083952463971,Green
51-2022,Electrical and Electronic Equipment Assemblers,Electrical and Electronic Equipment Assemblers,"Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.",0.36455783621974913,Yellow
51-2023,Electromechanical Equipment Assemblers,Electromechanical Equipment Assemblers,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.",0.38006685480307434,Yellow
51-2031,Engine and Other Machine Assemblers,Engine and Other Machine Assemblers,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.",0.2761605247688282,Green
51-2041,Structural Metal Fabricators and Fitters,Structural Metal Fabricators and Fitters,"Fabricate, position, align, and fit parts of structural metal products.",0.24486423687684394,Green
51-2092,Team Assemblers,Team Assemblers,"Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them, rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.",0.307327026897335,Green
51-3011,Bakers,Bakers,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.",0.3860214105911017,Yellow
51-3021,Butchers and Meat Cutters,Butchers and Meat Cutters,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.",0.2721012148630272,Green
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, and Fish Cutters and Trimmers","Use hands or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.",0.2553150639613643,Green
51-3023,Slaughterers and Meat Packers,Slaughterers and Meat Packers,"Perform nonroutine or precision functions involving the preparation of large portions of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats. Work typically occurs in slaughtering, meat packing, or wholesale establishments.",0.12422825883075599,Green
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.",0.3183187543210237,Green
51-3092,Food Batchmakers,Food Batchmakers,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.,0.3817404627728826,Yellow
51-3093,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operators and Tenders,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.",0.3260336066595263,Green
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.",0.21601706380363886,Green
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.",0.3150332721415697,Green
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material.",0.2639296297463231,Green
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.",0.27866212615219427,Green
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.",0.3250397457197156,Green
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.",0.2779913107231776,Green
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.",0.264892855021008,Green
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.",0.2905437869276124,Green
51-4041,Machinists,Machinists,"Set up and operate a variety of machine tools to produce precision parts and instruments out of metal. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.",0.2977593752920905,Green
51-4051,Metal-Refining Furnace Operators and Tenders,Metal-Refining Furnace Operators and Tenders,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel.",0.24278058766160227,Green
51-4052,"Pourers and Casters, Metal","Pourers and Casters, Metal",Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.,0.2587734458543346,Green
51-4061,"Model Makers, Metal and Plastic","Model Makers, Metal and Plastic","Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects. Includes template makers.",0.3029696488100086,Green
51-4062,"Patternmakers, Metal and Plastic","Patternmakers, Metal and Plastic","Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.",0.3429065086293201,Yellow
51-4071,Foundry Mold and Coremakers,Foundry Mold and Coremakers,Make or form wax or sand cores or molds used in the production of metal castings in foundries.,0.15307015904492308,Green
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products.",0.243278694729794,Green
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend more than one type of cutting or forming machine tool or robot.",0.32229194697874847,Green
51-4111,Tool and Die Makers,Tool and Die Makers,"Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools.",0.3438709885878463,Yellow
51-4121,"Welders, Cutters, Solderers, and Brazers","Welders, Cutters, Solderers, and Brazers","Use hand-welding, flame-cutting, hand-soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products.",0.26601157782381746,Green
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies. Includes workers who operate laser cutters or laser-beam machines.",0.2757161231839452,Green
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat treat metal or plastic objects.",0.24385175157519176,Green
51-4192,"Layout Workers, Metal and Plastic","Lay-Out Workers, Metal and Plastic","Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters.",0.3256477835198977,Green
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend plating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Typically, the product being coated is immersed in molten metal or an electrolytic solution.",0.2965605109352214,Green
51-4194,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, and Sharpeners","Perform precision smoothing, sharpening, polishing, or grinding of metal objects.",0.30610938405978033,Green
51-5111,Prepress Technicians and Workers,Prepress Technicians and Workers,Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.,0.6385748614321075,Yellow
51-5112,Printing Press Operators,Printing Press Operators,"Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses.",0.3271633523939206,Green
51-5113,Print Binding and Finishing Workers,Print Binding and Finishing Workers,Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.,0.2819457470232432,Green
51-6011,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles.",0.2684599386439924,Green
51-6021,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",Press or shape articles by hand or machine.,0.08586369882109095,Green
51-6031,Sewing Machine Operators,Sewing Machine Operators,"Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products.",0.29753882473237275,Green
51-6041,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers,"Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles. May use hand tools.",0.3059662067329698,Green
51-6042,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders,"Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts.",0.29511449567496306,Green
51-6051,"Sewers, Hand","Sewers, Hand","Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers.",0.39375588996290883,Yellow
51-6052,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers","Design, make, alter, repair, or fit garments.",0.38286525784106484,Yellow
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,"Operate or tend machines to bleach, shrink, wash, dye, or finish textiles or synthetic or glass fibers.",0.2841969606878545,Green
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut textiles.",0.26480121997380734,Green
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that knit, loop, weave, or draw in textiles.",0.25744122704749245,Green
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that wind or twist textiles; or draw out and combine sliver, such as wool, hemp, or synthetic fibers. Includes slubber machine and drawing frame operators.",0.19621291564140708,Green
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass.",0.2977217265204068,Green
51-6092,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.,0.4699110727878943,Yellow
51-6093,Upholsterers,Upholsterers,"Make, repair, or replace upholstery for household furniture or transportation vehicles.",0.2128510826234754,Green
51-7011,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products.",0.2116632413022837,Green
51-7021,Furniture Finishers,Furniture Finishers,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.",0.22252918723710716,Green
51-7031,"Model Makers, Wood","Model Makers, Wood",Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.,0.32916410678317365,Green
51-7032,"Patternmakers, Wood","Patternmakers, Wood","Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings.",0.28404650504378576,Green
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood","Set up, operate, or tend wood sawing machines. May operate computer numerically controlled (CNC) equipment. Includes lead sawyers.",0.24028698432031007,Green
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines. May operate computer numerically controlled (CNC) equipment.",0.23776355288551948,Green
51-8011,Nuclear Power Reactor Operators,Nuclear Power Reactor Operators,"Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action.",0.7103999828484041,Red
51-8012,Power Distributors and Dispatchers,Power Distributors and Dispatchers,"Coordinate, regulate, or distribute electricity or steam.",0.7129002293633554,Red
51-8013,Power Plant Operators,Power Plant Operators,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.",0.3680181264087213,Yellow
51-8021,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers.",0.36831316796475755,Yellow
51-8031,Water and Wastewater Treatment Plant and System Operators,Water and Liquid Waste Treatment Plant and System Operators,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.",0.3758424000665751,Yellow
51-8091,Chemical Plant and System Operators,Chemical Plant and System Operators,Control or operate entire chemical processes or system of machines.,0.3888561661263814,Yellow
51-8092,Gas Plant Operators,Gas Plant Operators,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,0.4039751765426734,Yellow
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers","Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.",0.37902033489421716,Yellow
51-8099,"Plant and System Operators, All Other","Plant and System Operators, All Other",All plant and system operators not listed separately.,0.31986171633951244,Green
51-9011,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.",0.3573828622590324,Yellow
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",0.28013077138211445,Green
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.",0.2404414293404444,Green
51-9022,"Grinding and Polishing Workers, Hand","Grinding and Polishing Workers, Hand","Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.",0.26200235740871325,Green
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders","Mixing and Blending Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.",0.296134374654383,Green
51-9031,"Cutters and Trimmers, Hand","Cutters and Trimmers, Hand","Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",0.27989588486016737,Green
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.",0.25346657881610607,Green
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.",0.2556333741785856,Green
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap.",0.2881641782977438,Green
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspectors, Testers, Sorters, Samplers, and Weighers","Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.",0.3927024844391892,Yellow
51-9071,Jewelers and Precious Stone and Metal Workers,Jewelers and Precious Stone and Metal Workers,"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems.",0.5078174029780819,Yellow
51-9081,Dental Laboratory Technicians,Dental Laboratory Technicians,Construct and repair full or partial dentures or dental appliances.,0.4996970399388499,Yellow
51-9082,Medical Appliance Technicians,Medical Appliance Technicians,"Construct, maintain, or repair medical supportive devices such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances.",0.39128253386117123,Yellow
51-9083,Ophthalmic Laboratory Technicians,Ophthalmic Laboratory Technicians,"Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters.",0.3739818412407162,Yellow
51-9111,Packaging and Filling Machine Operators and Tenders,Packaging and Filling Machine Operators and Tenders,Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.,0.284369893048194,Green
51-9123,"Painting, Coating, and Decorating Workers","Painting, Coating, and Decorating Workers","Paint, coat, or decorate articles, such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather.",0.29221592367379917,Green
51-9141,Semiconductor Processing Technicians,Semiconductor Processors,"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties.",0.34973884581480924,Yellow
51-9151,Photographic Process Workers and Processing Machine Operators,Photographic Process Workers and Processing Machine Operators,Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.,0.40133844735655827,Yellow
51-9191,Adhesive Bonding Machine Operators and Tenders,Cementing and Gluing Machine Operators and Tenders,"Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials.",0.20923229629669943,Green
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities.",0.2552812521613638,Green
51-9193,Cooling and Freezing Equipment Operators and Tenders,Cooling and Freezing Equipment Operators and Tenders,"Operate or tend equipment such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals.",0.27647275988030273,Green
51-9194,Etchers and Engravers,Etchers and Engravers,"Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers.",0.35575395491867345,Yellow
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic","Molders, Shapers, and Casters, Except Metal and Plastic","Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials.",0.2425314598741836,Green
51-9196,"Paper Goods Machine Setters, Operators, and Tenders","Paper Goods Machine Setters, Operators, and Tenders","Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products.",0.3005150831863469,Green
51-9197,Tire Builders,Tire Builders,Operate machines to build tires.,0.1517129601234308,Green
51-9198,Helpers--Production Workers,Helpers--Production Workers,"Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment.",0.2024031412657677,Green
53-2011,"Airline Pilots, Copilots, and Flight Engineers","Airline Pilots, Copilots, and Flight Engineers","Pilot and navigate the flight of fixed-wing aircraft, usually on scheduled air carrier routes, for the transport of passengers and cargo. Requires Federal Air Transport certificate and rating for specific aircraft type used. Includes regional, national, and international airline pilots and flight instructors of airline pilots.",0.44477043985445547,Yellow
53-2012,Commercial Pilots,Commercial Pilots,"Pilot and navigate the flight of fixed-wing aircraft on nonscheduled air carrier routes, or helicopters. Requires Commercial Pilot certificate. Includes charter pilots with similar certification, and air ambulance and air tour pilots. Excludes regional, national, and international airline pilots.",0.43927549160592544,Yellow
53-2021,Air Traffic Controllers,Air Traffic Controllers,"Control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.",0.8015304489549887,Red
53-2022,Airfield Operations Specialists,Airfield Operations Specialists,"Ensure the safe takeoff and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel, dispatching, using airfield landing and navigational aids, implementing airfield safety procedures, monitoring and maintaining flight records, and applying knowledge of weather information.",0.5433758471826524,Yellow
53-2031,Flight Attendants,Flight Attendants,"Monitor safety of the aircraft cabin. Provide services to airline passengers, explain safety information, serve food and beverages, and respond to emergency incidents.",0.3527969373689892,Yellow
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons. Assist in lifting patients.",0.3179687628311906,Green
